Cruise ,Station,Type ,mon/day/yr,hh:mm,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth[m],Depth[m],Reference ,Doi,Pre-Press (calculated),Press ,Day ,Month ,Year ,ONI 3.4 region,ANOM 3.4 region,TNI,1+2 Coast,PDO state,Temperature insitu ,Temperature pot,Salinity CTD,Salinity bottle,Density sigma t,Density Kg/L,Oxygen (umol/Kg),Oxygen (umol/L),Oxygen (ml/L),AOU (umol/Kg),Oxygen (mg/L),PO4 [µmol/l],PO4 [µmol/Kg],NO2 [µmol/l],NO2 [µmol/Kg],SiO4 [µmol/l],SiO4 [µmol/Kg],NO3 [µmol/Kg],TCO2,DIC umol kg-1,Alkalinity (umol/Kg) measurement ,Alkalinity (umol/Kg) SW,pH NBS at 25C,pH sea water,pH total,pH plots,CFC12,"WCa at measurement conditions (20°C, P=0)","WAr at measurement conditions (20°C, P=0)",CO32-measurement conditions(µmol/kgSW),HCO3 measurements conditions (µmol/kgSW),WCa at ambient temp and P,WAr at at ambient temp and P,CO32- ambient temp and P µmol/kg SW),d18O,SD ?18O,d18O corr ,SD ?18O,dD,SD ?D,d13C,SD d13C,d13C Cristian,d18O eq calcite Kim and Oneil 1995 Discrimit ,d18O eq calcite Kim and Oneil 1995 d18O cal-d18Osw (theoretical one),d18O eq calcite Kim and Oneil 1995 d18O Equation ,"d18O eq calcite Lynch et al., 1999",d18Oeq Marchitto et al 2014,d18Oeq Marchitto et al 2014 cuadratic,Discriminate,Value discriminate,ESSW,ESSW %,AAIW,AAIW %,PDW,PDW %,STW,STW%,SAAW,SAAW %,Remineralization OMP,Denitrification OMP,Denitrification/100,Extrainfo,Extrainfo2,st,depth ,presure
Taitao Cimar,st9,CTD/Bottle ,*,*,-75.11,-43.18,900,25,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,25.16,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,10.63,,33.42,,25.61,1.026,272.59,279.57,6.26,1.6988,,0.14,0.14,0.4,0.39,1.28,1.25,1.86,,,,,,,,,,,,,,,,,-0.44,0.03,-0.44,0.03,-2.35,0.04,2.01,0.05,,15.623,1.241,0.801,0.438,0.439,1.509,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st9,CTD/Bottle ,*,*,-75.11,-43.18,900,50,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,50.52,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,10.51,,33.61,,25.78,1.026,250.34,256.8,5.75,24.3552,,0.39,0.38,0.64,0.62,2.71,2.64,5.45,,,2229.18,2226.997314,8.08,8.2,,8.2,,3.531,2.289,146.11,,3.381,2.149,142.08,-0.4,0.09,-0.4,0.09,-1.95,0.12,1.63,0.04,,15.556,1.271,0.871,0.503,0.506,1.55,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st9,CTD/Bottle ,*,*,-75.11,-43.18,900,100,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,100.88,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,9.93,,33.94,,26.14,1.026,196.29,201.42,4.51,81.3762,,1.51,1.47,0.35,0.34,5.57,5.43,14.96,,,2268.29,2264.780029,7.92,8.05,,8.05,,2.628,1.705,109.01,,2.465,1.566,104.74,-0.31,0.11,-0.31,0.11,-1.31,0.16,0.84,0.07,,15.231,1.419,1.109,0.715,0.726,1.652,,,0,0,0.11,11.41,,,0,0,0.92,91.89,0.32,5.22,0.05,Bottle,,st9,900,100.88
Taitao Cimar,st9,CTD/Bottle ,*,*,-75.11,-43.18,900,300,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,302.52,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,7.68,,34.32,,26.79,1.027,95.25,97.81,2.19,196.2517,,1.85,1.8,0.35,0.34,10.6,10.32,19.5,,,2268.29,2261.297607,7.78,7.92,,7.92,,1.977,1.283,82.24,,1.736,1.103,76.85,-0.23,0.04,-0.23,0.04,-0.64,0.03,0.55,0.04,,13.971,2.008,1.778,1.267,1.31,1.847,,,0.38,37.99,0.29,29.4,,,0,0,0.33,33.17,0.05,6.17,0.06,Bottle,,st9,900,302.52
Taitao Cimar,st9,CTD/Bottle ,*,*,-75.11,-43.18,900,500,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,504.69,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,5.71,,34.23,,26.98,1.027,178.73,183.55,4.11,126.7985,,1.43,1.39,0.33,0.32,9.31,9.07,16.49,,,2307.4,2297.764648,7.91,8.08,,8.08,,2.625,1.704,109.14,,2.219,1.409,102.27,-0.2,0.09,-0.2,0.09,-0.81,0.15,1.01,0.02,,12.868,2.546,2.346,1.711,1.781,2.07,,,0.33,33.08,0.76,75.78,0,0,,,,,0,11.77,0.12,Bottle,,st9,,504.69
Taitao Cimar,st9,CTD/Bottle ,*,*,-75.11,-43.18,900,900,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,909.24,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,4.09,,34.31,,27.23,1.027,141.73,145.59,3.26,176.0529,,2.01,1.96,0.35,0.34,23.9,23.27,21.24,,,2307.4,2293.026367,7.88,8.05,,8.05,,2.466,1.601,102.59,,1.886,1.201,94.38,-0.24,0.06,-0.24,0.06,-0.91,0.11,0.86,0.04,,11.96,3.006,2.766,2.011,2.104,2.252,,,0.22,22.09,0.64,63.96,0.14,13.95,,,,,0,9.1,0.09,Bottle,,st9,,909.24
Taitao Cimar,st 9r,CTD/Bottle ,*,*,-75.11,-43.18,900,2,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,2.04,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,13.01,,33.04,,24.87,1.025,244.46,250.54,5.61,16.8475,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16,0,0.16,-1.07,0.3,2.21,0.03,,16.956,0.651,0.651,0.378,0.346,1.984,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st 9r,CTD/Bottle ,*,*,-75.11,-43.18,900,12,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,12.11,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,11.85,,33.36,,25.34,1.025,254.8,261.26,5.85,12.4603,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,-1.11,0.1,1.96,0.05,,16.306,0.935,0.955,0.642,0.626,1.971,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st 9r,CTD/Bottle ,*,*,-75.11,-43.18,900,25,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,25.2,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,11.4,,33.46,,25.51,1.026,254.76,261.26,5.85,14.9277,,,,,,,,,,,,,,,,,,,,,,,,,-0.43,0.05,-0.43,0.05,-2.86,0.36,1.71,0.04,,16.054,1.047,0.617,0.286,0.276,1.517,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st 9r,CTD/Bottle ,*,*,-75.11,-43.18,900,50,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,50.35,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,10.52,,33.6,,25.77,1.026,230.32,236.25,5.29,44.3326,,,,,,,,,,,2229.18,2227.021973,8.06,8.18,,8.18,,3.397,2.202,140.56,,3.25,2.065,136.55,-0.32,0.09,-0.32,0.09,-2.23,0.45,1.49,0.04,,15.561,1.269,0.949,0.581,0.584,1.63,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st 9r,CTD/Bottle ,*,*,-75.11,-43.18,900,100,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,101,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,9.51,,34.08,,26.32,1.026,136.64,140.23,3.14,143.3684,,,,,,,,,,,2229.18,2225.335449,7.84,7.97,,7.97,,2.197,1.426,91.25,,2.043,1.298,86.9,-0.42,0.03,-0.42,0.03,-2.02,0.16,0.56,0.05,,14.996,1.527,1.107,0.693,0.71,1.555,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st 9r,CTD/Bottle ,*,*,-75.11,-43.18,900,300,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,302.5,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,7.81,,34.34,,26.78,1.027,83.08,85.3,1.91,207.5179,,,,,,,,,,,2268.29,2261.314209,7.79,7.93,,7.93,,2.021,1.312,84.1,,1.778,1.13,78.72,-0.2,0.07,-0.2,0.07,-0.23,0.16,0.36,0.03,,14.044,1.973,1.773,1.27,1.311,1.868,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st 9r,CTD/Bottle ,*,*,-75.11,-43.18,900,500,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,504.52,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,6.22,,34.26,,26.94,1.027,147.86,151.84,3.4,153.9483,,,,,,,,,,,2307.4,2297.869629,7.87,8.03,,8.03,,2.422,1.572,100.72,,2.044,1.299,94.14,-0.44,0.08,-0.44,0.08,-1.26,0.5,0.84,0.03,,13.153,2.405,1.965,1.364,1.427,1.772,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st 9r,CTD/Bottle ,*,*,-75.11,-43.18,900,900,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,860.23,2,11,2018,0.9,0.86,-1.734,22.46,-0.78,4.17,,34.3,,27.21,1.027,143.04,146.93,3.29,174.1441,,,,,,,,,,,2307.4,2293.559082,7.87,8.04,,8.04,,2.419,1.57,100.62,,1.867,1.189,92.52,-0.26,0.05,-0.26,0.05,-0.88,0.06,0.85,0.02,,12.005,2.983,2.723,1.974,2.066,2.22,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st13,CTD/Bottle ,*,*,-75.1,-43.93,100,2,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,1.96,13,11,2018,0.9,0.86,-1.734,22.46,-0.78,12.13,,33,,25.01,1.025,271.44,278.23,6.23,-5.1755,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,0.03,-0.4,0.03,-3.06,0.16,2.06,0.03,,16.463,0.866,0.466,0.163,0.143,1.557,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st13,CTD/Bottle ,*,*,-75.1,-43.93,100,5,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,4.95,13,11,2018,0.9,0.86,-1.734,22.46,-0.78,12.05,,33.01,,25.04,1.025,272.74,279.57,6.26,-6.0369,,,,,,,,,,,,,,,,,,,,,,,,,-0.41,0.03,-0.41,0.03,-3.05,0.08,,,,16.418,0.886,0.476,0.17,0.151,1.545,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st13,CTD/Bottle ,*,*,-75.1,-43.93,100,12,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,12.06,13,11,2018,0.9,0.86,-1.734,22.46,-0.78,11.47,,33.04,,25.17,1.025,266.17,272.87,6.11,3.8146,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,0.01,-0.4,0.01,-2.98,0.11,,,,16.093,1.03,0.63,0.301,0.291,1.547,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st13,CTD/Bottle ,*,*,-75.1,-43.93,100,25,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,25.19,13,11,2018,0.9,0.86,-1.734,22.46,-0.78,10.83,,33.11,,25.33,1.025,239.13,245.18,5.49,34.5029,,,,,,,,,,,,,,,,,,,,,,,,,-0.42,0.02,-0.42,0.02,-2.94,0.06,1.58,0.06,,15.735,1.19,0.77,0.416,0.414,1.527,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st13,CTD/Bottle ,*,*,-75.1,-43.93,100,80,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,80.61,13,11,2018,0.9,0.86,-1.734,22.46,-0.78,9.28,,33.82,,26.15,1.026,178,182.66,4.09,103.8984,,,,,,,,,,,,,,,,,,,,,,,,,-0.39,0.09,-0.39,0.09,-2.32,0.29,1.35,0.03,,14.867,1.587,1.197,0.771,0.791,1.594,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st13,CTD/Bottle ,*,*,-75.1,-43.93,100,100,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,100.8,13,11,2018,0.9,0.86,-1.734,22.46,-0.78,8.9,,34,,26.35,1.026,162.3,166.58,3.73,121.6931,,,,,,,,,,,2229.18,2225.246582,7.88,8.02,,8.02,,2.382833837,1.545974935,98.89,,2.217111204,1.406939659,94.27,-0.22,0.05,-0.22,0.05,-1.45,0.17,0.74,0.04,,14.654,1.686,1.466,1.021,1.046,1.781,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st17,CTD/Bottle ,*,*,-75.59,-44.92,900,2,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,2.09,12,11,2018,0.9,0.86,-1.734,22.46,-0.78,11.75,,32.72,,24.87,1.025,259.72,266.17,5.96,9.1811,,0.37,0.36,0.19,0.19,1.18,1.15,1.35,,,,,,,,,,,,,,,,,-0.49,0.04,-0.49,0.04,-4.53,0.12,2.05,0.02,,16.25,0.96,0.47,0.153,0.138,1.46,,,,,,,,,,,,,,,,Bottle,,,,
Taitao Cimar,st17,CTD/Bottle ,*,*,-75.59,-44.92,900,18,"Reyes-Macaya et al., 2022",https://doi.org/10.1029/2021JC017525,,18.17,12,11,2018,0.9,0.86,-1.734,22.46,-0.78,11.32,,33.18,,25.3,1.025,267.01,273.77,6.13,3.6133,,0.54,0.53,0.21,0.2,1.31,1.28,2.32,,,,,,,,,,,,,,,,,-0.26,0.02,-0.26,0.02,-2.53,0.34,2.04,0.05,,16.009,1.067,0.807,0.473,0.464,1.686,,,,,,,,,,,,,,,,Bottle,,,,
